2
TEST
4,10
11, 9, 7, 4
 9, 8,11,13
 9,11, 5, 4
 8,13,15,14
 6, 5, 6,11
 2, 6, 9, 9
 5, 7, 4, 8
12,11, 4, 5
15,12,11,13
 1, 6, 4, 6
TEST #2.
8 ,20
113 ,  113,   113 ,  173  , 123 ,  113 ,  116 ,  123
1.3 ,  1.6,   1.6 ,  163  , 1.3 ,  1.6 ,  1.3 ,  1.3
153 ,  223,   223 ,  153  , 153 ,  223 ,  133 ,  133
1.3 ,  1.6,   1.6 ,  1.3  , 1.3 ,  1.6 ,  1.3 ,  1.3
123 ,  113,   113 ,  123  , 123 ,  1.3 ,  1.6 ,  1.6
1.6 ,  163,   1.3 ,  1.3  , 1.6 ,  113 ,  116 ,  123
1.3 ,  1.6,   166 ,  1.3  , 1.3 ,  1.6 ,  183 ,  1.3
25  ,  123,   123 ,  25   , 25  ,  123 ,  113 ,  113
1.3 ,  1.6,   1.6 ,  1.3  , 1.3 ,  1.6 ,  1.3 ,  1.3
123 ,  1.3,   1.3 ,  176  , 186 ,  1.6 ,  1.6 ,  1.6
1.3 ,  1.3,   1.3 ,  1.6  , 1.6 ,  1.6 ,  116 ,  134
123 ,  113,   113 ,  123  , 123 ,  113 ,  1.6 ,  1.6
1.3 ,  1.6,   1.3 ,  1.3  , 1.3 ,  1.6 ,  1.3 ,  186
153 ,  223,   223 ,  153  , 183 ,  283 ,  133 ,  133
1.3 ,  1.6,   1.6 ,  1.3  , 1.3 ,  1.6 ,  1.3 ,  1.3
123 ,  113,   113 ,  123  , 123 ,  113 ,  116 ,  123
1.3 ,  1.6,   1.6 ,  1.3  , 1.3 ,  1.6 ,  1.3 ,  1.3
123 ,  113,   25  ,  123  , 123 ,  25  ,  25  ,  113
1.3 ,  1.6,   1.6 ,  163  ,  63 ,  1.6 ,  1.3 ,  1.3
1.3 ,  153,   1.3 ,  1.6  , 1.6 ,  1.6 ,  196 ,  1.6

