8
1
10
1 , -100
2 , -20
3 , -2
4 ,  3
5 ,  10
6 ,  15
7 ,  17
8 ,  17
9 ,  17.5
10,  17.1
2
10
1 , -100
2 , -30
3 , -2
4 ,  3
5 ,  10
6 ,  15
7 ,  17
8 ,  17
9 ,  17.5
10,  17.2
3
10
1 , -100
2 , -20
3 , -2
4 ,  9
5 ,  10
6 ,  15
7 ,  17
8 ,  17
9 ,  17.5
10,  18.1
4
10
1 , -100
2 , -20
3 , -2
4 ,  9
5 ,  10
6 ,  15
7 ,  17
8 ,  17
9 ,  17.5
10,  18.1
5
10
1 , -100
2 , -20
3 , -2
4 ,  9
5 ,  10
6 ,  15
7 ,  17
8 ,  17
9 ,  17.5
10,  18.1
6
10
1 , -100
2 , -20
3 , -2
4 ,  9
5 ,  10
6 ,  15
7 ,  17
8 ,  17
9 ,  17.5
10,  18.1
7
10
1 , -100
2 , -20
3 , -2
4 ,  9
5 ,  10
6 ,  15
7 ,  17
8 ,  17
9 ,  17.5
10,  18.1
8
10
1 , -100
2 , -20
3 , -2
4 ,  9
5 ,  10
6 ,  15
7 ,  17
8 ,  17
9 ,  17.5
10,  18.1

